"dxhy.name","force.mean","torque.mean","force.median","torque.median","force.sd","torque.sd","force.max","torque.max","force.skewness","torque.skewness","force.kurtosis","torque.kurtosis","force.IQR","torque.IQR","force.coefficient_of_variation","torque.coefficient_of_variation","spearman.correlation","pearson.correlation","spectral_density.df","spectral_density.bandwidth","dual.gini","force.gini","torque.gini","force.autocorr.mean","force.autocorr.sd","torque.autocorr.mean","torque.autocorr.sd"
"d11h10",241.228671852535,17.970022764977,285.9815,23.27064,139.8728412663,12.2254990335747,429.4837,429.4837,-0.488861284758546,-0.376226121225872,1.84586004034052,1.52730636576629,240.5226,24.600399,57.9835059373895,68.0327409345401,0.953202200047375,0.936117515572218,1.72788949827341,0.00128300059819917,0.602280404364897,0.326112795195511,0.38000164712764,0.774143838743727,0.148654620759341,0.785739660772137,0.153930171285775
"d11h11",256.815695839024,19.5619349317073,295.0538,23.93552,134.650737095683,12.0773681530754,428.0599,428.0599,-0.566499746410854,-0.510188988695533,2.00614297492575,1.69235662438906,221.7159,22.605772,52.4308830329762,61.7391285434629,0.942023069407008,0.923011549684042,1.70035208883472,0.00133645895645747,0.582096929026576,0.294104213903975,0.34281080191643,0.748024562457109,0.162560244133303,0.745347284492263,0.177384544671672
"d11h12",252.803832980952,19.0787611809524,287.1155,23.60308,140.343624273294,12.3070513351257,443.7222,443.7222,-0.497157778426645,-0.441167794354606,1.90043626473446,1.59964984868039,232.493425,23.436866,55.5148324368435,64.5065537452856,0.942121724831197,0.929738646765437,1.74182409100142,0.00133645895645747,0.593149986424246,0.312910991257962,0.359402895891575,0.775301813630292,0.14674993666318,0.765930722519627,0.164513712544852
"d11h13",260.133694275362,19.9157521545894,298.4559,25.26527,137.464238495987,12.3318052427515,446.5699,446.5699,-0.497842988607084,-0.488642716237334,2.0083451770234,1.6684581569911,222.96515,23.1044205,52.8436882730292,61.9198569405262,0.951461296424468,0.927518340863335,1.7169408897014,0.00133645895645747,0.58357992579985,0.298386836229277,0.344543662737615,0.752962773677271,0.15964640079148,0.751240820654552,0.173919195677186
"d11h14",265.783444391509,19.7722061933962,303.6176,24.600395,146.451153249366,12.8727543690167,455.1131,455.1131,-0.478711329973345,-0.424541296122239,1.91052902426003,1.58343073884363,240.912125,25.34838,55.1016838481626,65.1053010630455,0.947208694883719,0.928175872993757,1.7584128918681,0.00133645895645747,0.592730859209777,0.311174298201337,0.363257667549265,0.770953935403252,0.148236211167324,0.77223871787543,0.161012207991664
"d11h15",274.485903868545,20.5003284976526,315.958,25.93015,152.59841164974,13.4803744955497,470.7754,470.7754,-0.470101532688848,-0.425085218967195,1.8370767337407,1.5457025198366,263.8784,26.262583,55.594261672112,65.7568706623082,0.947411548700361,0.944331101589647,1.76670729230144,0.00133645895645747,0.593564264241896,0.313521720906358,0.365188518728261,0.779590798865474,0.143563108663901,0.775820198382032,0.159739773643355
"d11h16",283.193196398148,21.4837900509259,299.0229,27.426115,162.706434422246,14.2908607444397,507.9857,507.9857,-0.329180857117715,-0.367890224865818,1.81413290643796,1.53655101930334,277.4403,28.257213,57.454217294646,66.5192720212038,0.962769725383606,0.947571696296512,1.79159049360146,0.00133645895645747,0.599614882504997,0.327666380885986,0.372522503813144,0.791177286164167,0.137305842287929,0.786551174951915,0.151785420069837
"d11h17",288.52686062212,22.0450661105991,311.8445,28.58965,167.774069788404,14.7244013784381,499.2524,499.2524,-0.362197589739827,-0.353187429613921,1.75302490740559,1.51221994921183,294.1706,28.922085,58.1485097874946,66.7922758977745,0.957364796652675,0.950371322733654,1.72788949827341,0.00128300059819917,0.601029267450126,0.330098510278665,0.373961686561591,0.801681707673286,0.130656260153139,0.790956108108649,0.147511774094394
"d11h18",285.58235609589,21.6615837031963,310.4734,27.2599,167.231464708202,14.7015421559617,505.0685,505.0685,-0.346974127038563,-0.349047397045895,1.74882416615017,1.48720994091048,289.81015,29.0883,58.5580520429808,67.8691934874196,0.958356027080908,0.950635270990419,1.74381474710542,0.00128300059819917,0.603010920257066,0.332963182956324,0.37924758156059,0.803824220370495,0.128195624385986,0.796107840535041,0.145261353024404
"d11h19",287.056156885845,22.2202004794521,303.6176,28.25721,169.347699122235,14.958536699823,513.82,513.82,-0.32981039603928,-0.351760297890409,1.73853651897943,1.49315966888864,295.6124,29.2545225,58.9946235466325,67.3195397748809,0.95195747340648,0.945477361552569,1.74381474710542,0.00128300059819917,0.603212691359353,0.335767262012141,0.37629213935252,0.805648484209838,0.12914000901653,0.793045873656325,0.146415282404607
