Drillbit,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,RUL
d12h21,1.717596667,7.895433333,16.34491667,25.20991667,36.81758333,41.08375,43.217,44.71308333,47.871,50.69683333,51.4725,52.91291667,47.4,39.06141667,37.0945,38.3135,36.54033333,26.48433333,17.61925,12.82666667,7.424433333,3.185866667,1.1912325,0.055406667,0,0,51.13845833,180.5908333,248.6533333,293.4883333,360.1391667,482.3991667,518.6808333,532.2958333,551.2566667,582.9816667,596.7641667,589.4225,524.6216667,408.185,318.1725,221.3891667,114.3928333,39.89375,17.37591667,14.62775,14.45041667,14.18466667,13.12066667,8.244608333,1.241141667,0,0
d13h1,0.041555,2.28551875,6.9396375,11.5105875,15.29225,17.743875,18.907375,19.572375,20.528,19.15675,20.819,22.522375,24.392625,25.348375,25.098875,27.426125,27.924875,29.3375,25.971375,20.403375,13.1314125,6.773425,0.7895375,0,0,0,43.750025,146.255,215.9775,262.025,282.72125,289.385,295.3575,306.705,306.875,316.3,305.85875,330.355,351.09375,355.2075,370.46125,378.5175,411.55875,395.7,346.8075,265.14125,181.19375,106.845375,52.925625,21.276625,5.71805,0,44
d13h2,0.08311,2.6594975,7.3136375,12.2171375,17.4945,20.69425,22.4395,23.727875,26.262625,26.096375,26.511875,27.50925,27.675625,28.0495,27.924875,28.922125,27.8,28.589625,26.387375,20.569625,13.4638875,6.5656375,1.53754125,0,0,0,46.409625,141.20875,208.62875,253.65875,275.3525,297.27875,316.9875,331.555,344.9225,369.2625,368.40375,385.75375,392.245,410.8375,410.08375,421.475,423.43375,397.51375,351.6075,263.3775,179.635,110.952,58.7765,24.601,5.9839625,0.26595,43
d13h3,0.124665,2.95038875,7.8122875,12.923375,16.746625,20.40325,21.733125,23.1875,24.55875,25.597875,26.719625,27.758625,28.714375,27.592375,28.839,28.007875,29.337625,30.3765,25.597625,19.323,12.7572125,6.7318625,1.6621925,0,0,0,53.752875,148.63625,211.30375,254.22875,279.6025,290.43,313.72875,318.52875,330.69875,342.18125,358.9775,374.4025,402.52625,414.88875,406.58,416.8475,406.20875,403.575,347.15375,239.07,166.9975,107.518375,54.1225,21.8085,5.4521125,0.132975,42
d13h4,2.53486,7.3967625,12.0508875,17.20375,20.610875,21.5255,24.600625,25.763875,27.093625,28.797625,27.841625,27.343,27.384375,27.92475,28.922125,29.296,28.464875,24.849875,20.195625,13.256125,6.8980875,1.24665375,0,0,0,0,45.611725,142.19,209.4675,254.65375,277.05125,297.7,316.81625,321.785,351.4375,367.20375,392.06875,410.44125,406.1975,396.3475,386.755,404.4175,416.8475,403.45,340.12125,256.20625,180.48625,114.950125,61.83525,27.26075,9.0426125,1.59575,41
d13h5,0.041555,2.74261375,7.272075,11.9676375,16.7465,20.195625,22.4395,23.145875,24.600375,25.223625,26.30425,28.382,27.6755,27.717125,28.71425,28.71425,30.21025,28.880625,27.010375,20.1955,14.419375,7.10585,1.08042375,0,0,0,46.0106875,144.15125,212.715,251.67625,272.7975,289.1025,311.8425,324.1825,333.61,347.495,359.3225,379.71625,403.02875,401.08625,396.545,408.12625,410.62625,394.0625,335.3275,259.8975,178.5025,117.1785,62.367,27.260625,9.0425625,1.3297875,40
d13h6,0.041555,2.65951,7.230525,12.300375,17.36975,20.112625,21.275875,22.64725,24.3925,25.847125,26.221125,28.0495,28.4235,28.465125,28.506625,28.090875,29.2545,29.42075,25.473,20.1125,13.588625,7.396775,1.03888,0,0,0,45.3457,142.33,210.17375,253.09375,274.64125,288.71375,310.3125,318.7,333.955,351.95125,364.46375,372.6875,394.48,411.54875,411.6875,422.5425,415.2475,398.10875,353.32125,262.895,186.23,117.741,64.760625,27.925625,9.1754875,1.462775,39
d13h7,0.124665,3.11660125,7.9369375,12.757125,17.203625,20.569625,24.268,24.475875,25.556375,26.304125,25.847,27.717,27.509,28.839,27.63375,29.919375,28.298625,29.753125,25.639125,19.48925,13.339,6.23315,1.28820375,0,0,0,54.291875,154.2425,216.52875,258.34,276.91,293.49125,319.90125,338.41,348.86625,363.4325,376.11625,378.0025,393.9675,398.47125,413.67125,407.8,413.8575,391.24125,341.49625,254.08625,171.20375,112.161625,61.17025,26.063875,8.7766375,1.0638375,38
d13h8,0.041555,2.70106,7.355175,12.25875,16.829625,20.819,22.439625,24.891375,25.72225,25.514625,26.636375,26.969,27.4675,28.880625,27.717,29.296125,29.961,29.171375,26.42875,20.27875,13.671625,6.316325,1.08043375,0,0,0,41.6224375,142.89,211.7275,250.26,272.80125,288.865,315.615,327.0975,346.46625,361.8925,367.71875,378.0025,380.57375,406.03625,407.82875,408.67,427.35,406.175,354.86375,268.83125,183.2925,121.489625,66.888375,30.186125,9.57445,0.6648875,37
d13h9,0.16621875,3.1997125,7.7707875,12.799,17.536,21.44225,21.52525,24.808125,25.39,26.885875,27.550625,27.758625,28.839,28.963625,28.382,28.92225,29.545375,29.171375,26.221,19.78,13.0481375,5.6930125,0.70642875,0,0,0,54.01875,152.42125,216.38625,254.9375,273.0825,296.03625,319.5575,328.47,345.6075,354.86625,377.66,398.08875,402.17375,409.7275,412.04875,415.065,426.81625,411.68875,346.98,259.24,172.325,112.08025,58.377625,24.867,6.6489875,0,36
